seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
22,expanded_stats,0,0,0.0,,,0.13311570778023452,0.05935071944040709
22,expanded_stats,50,1600,0.8934144087834284,0.05490568622946739,0.09879330866038799,0.13341017090715468,0.05918425358538021
22,expanded_stats,100,3200,1.7914177298080176,0.05140646442770958,0.10013096429407596,0.13295714813284576,0.0586434030977997
22,expanded_stats,150,4800,2.685088057536632,0.06212965711951256,0.1009644278883934,0.14550734660588205,0.05867562537657906
22,expanded_stats,200,6400,3.5811641681939363,0.22430151894688607,0.2367528922110796,0.4370557552902028,0.060201708079245235
22,expanded_stats,250,8000,4.47872308967635,0.6722608092427254,0.5973804184794426,1.0305466790450737,0.060295227894380174
22,expanded_stats,300,9600,5.37282703013625,0.9662442690134049,0.6569214257597923,1.040645910659805,0.06089372745865527
22,expanded_stats,350,11200,6.268179007223807,1.042558890581131,0.7287611809372901,1.0484826036263257,0.06060667325494448
22,expanded_stats,400,12800,7.165625827736221,1.0005520868301392,0.6015294581651688,1.048979714512825,0.06112231455617318
22,expanded_stats,450,14400,8.06773402064573,1.0566817438602447,0.6639654850959777,1.053391375229694,0.0600335097951752
22,expanded_stats,500,16000,8.93097624136135,1.0464729571342468,0.7051576524972916,1.055350098060444,0.05996611445888887
