seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
22,mean_var,0,0,0.0,,,0.1340785431675613,0.05935883008516259
22,mean_var,50,1600,0.818414009641856,0.05513311438262462,0.09859889354556799,0.13472946383990347,0.059322429653617975
22,mean_var,100,3200,1.637929562595673,0.049933557361364365,0.10382311627268791,0.1352798790903762,0.05914780389678935
22,mean_var,150,4800,2.457794164423831,0.052518157809972765,0.09784997262060642,0.1371597262332216,0.05931974919714556
22,mean_var,200,6400,3.275702622020617,0.07771519467234611,0.09664991963654757,0.13726319384295493,0.05925199399102174
22,mean_var,250,8000,4.094796053832397,0.0646863380074501,0.08754113748669624,0.1388086749939248,0.05940964083768825
22,mean_var,300,9600,4.915800099493936,0.07533356666564942,0.0862517400085926,0.1524705373449251,0.0603214208194235
22,mean_var,350,11200,5.732455081422813,0.1191350881755352,0.10144619256258011,0.19263668055646122,0.06175709927807336
22,mean_var,400,12800,6.551982721197419,0.20129734814167022,0.18177077561616897,0.41224596998654306,0.06465478221838265
22,mean_var,450,14400,7.376937025343068,0.5445989906787873,0.3979212760925293,0.7817059971857816,0.06930920737750633
22,mean_var,500,16000,8.19996311236173,0.9653971064090728,0.5533264166116715,1.0954677608096972,0.05823960221047164
