seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
11,deepsets,0,0,0.0,,,0.11949140427168459,0.04012665009887591
11,deepsets,50,1600,0.8308199602179229,0.12567565709352493,0.09331820137798787,0.13381608040072024,0.03983400155904796
11,deepsets,100,3200,1.6801466014003381,0.10938309252262116,0.10441573970019817,0.1903466945514083,0.041028205314713864
11,deepsets,150,4800,2.5343707421561703,0.22590639173984528,0.1527153278514743,0.36786244495306164,0.04673332978365995
11,deepsets,200,6400,3.368486611871049,0.3677572476863861,0.25216869339346887,0.5646823442075402,0.05525577061879988
11,deepsets,250,8000,4.1990259708836675,0.6688505220413208,0.40893864542245867,0.9084411561489105,0.05697187780719331
11,deepsets,300,9600,5.039805449661799,0.9511769390106202,0.4396324373781681,1.1084692620206624,0.05408569743894301
11,deepsets,350,11200,5.873555509722792,1.0951925027370453,0.3992625680565834,1.1424142778851092,0.05329175463642159
11,deepsets,400,12800,6.707033600891009,1.1418920254707337,0.40764541864395143,1.1489014574326575,0.053865998828568365
11,deepsets,450,14400,7.53802560607437,1.1082640659809113,0.43243797212839125,1.1408411236479878,0.05425519745047567
11,deepsets,500,16000,8.372309157508425,1.0319389498233795,0.44817264065146445,1.1452051373198628,0.053647384478345196
