seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
33,mean_var,0,0,0.0,,,0.0032189085613936186,0.07803675959197644
33,mean_var,50,1600,0.8215884327655658,0.027195666879415513,0.11252597108483314,0.004373479867354035,0.07811350097927504
33,mean_var,100,3200,1.6536303753964603,0.055631086230278015,0.08755475610494613,0.004049165640026331,0.07829896396300576
33,mean_var,150,4800,2.491902555921115,0.04306253433227539,0.08816722691059113,0.005283370381221175,0.07888110937824801
33,mean_var,200,6400,3.318199571920559,0.07394096314907074,0.10591640464961528,0.006871587014757097,0.07900772788445347
33,mean_var,250,8000,4.140254261204973,0.11270810633897782,0.10425147280097008,0.025272348430007696,0.08011291114429472
33,mean_var,300,9600,4.9594627221813425,0.22975666791200638,0.1888757733255625,0.26015234424266964,0.07860397328161066
33,mean_var,350,11200,5.78296524065081,0.5455758965015411,0.46538363516330716,0.7967628857586533,0.06732928027241326
33,mean_var,400,12800,6.60357366304379,0.8482556420564652,0.6503668242692947,1.031338666449301,0.06591777571545158
33,mean_var,450,14400,7.421915771905333,0.9433750128746032,0.5195728534460068,1.0532668058294803,0.06504976647547386
33,mean_var,500,16000,8.243886639829725,0.9702481454610825,0.5982331722974777,1.071167660644278,0.07178570642339087
