scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,11,known_sigma,fixed,0.1,0.2,3048,0.13917427799197554,0.1574643356157637,0.008331881814056964,0.08781085440695677
physical_fixed,11,known_sigma,fixed,0.2,0.3,1702,0.140428312880137,0.16512515500154973,-0.02262799523674503,0.1729545261110335
physical_fixed,11,known_sigma,fixed,0.3,0.4,826,0.1223275135598229,0.1595310774194093,-0.02996362440883392,0.19177646805362072
physical_fixed,11,known_sigma,fixed,0.4,0.5,384,0.09785529466656347,0.12698718250737262,-0.01349466317333281,0.3234215185169644
physical_fixed,11,known_sigma,fixed,0.5,0.6,169,0.0797265554673573,0.10161990624758437,-0.018990408563049586,0.1979416571134012
physical_fixed,11,known_sigma,fixed,0.6,0.7,45,0.07896505528026157,0.10618308943878153,-0.009617096185684204,0.3428583212731889
physical_fixed,11,known_sigma,fixed,0.7,0.8,8,0.06437545269727707,0.07487610969743966,-0.01879454404115677,-0.010960977955247
physical_fixed,11,known_sigma,fixed,0.8,0.9,1,0.06497645378112793,0.06497645378112793,-0.06497645378112793,
physical_fixed,11,prior_mean,fixed,0.0,0.1,3817,0.11111259895733336,0.1141444093080475,0.11111259895733336,
physical_fixed,11,prior_mean,fixed,0.1,0.2,3048,0.028427164889187638,0.03360481147564866,0.017951581944904614,
physical_fixed,11,prior_mean,fixed,0.2,0.3,1702,0.08084681701050801,0.08566408380479569,-0.08084681701050801,
physical_fixed,11,prior_mean,fixed,0.3,0.4,826,0.17896643544369115,0.18115106552305335,-0.17896643544369115,
physical_fixed,11,prior_mean,fixed,0.4,0.5,384,0.2786191361180196,0.2800805056696278,-0.2786191361180196,
physical_fixed,11,prior_mean,fixed,0.5,0.6,169,0.37502489887045687,0.37598118932568714,-0.37502489887045687,
physical_fixed,11,prior_mean,fixed,0.6,0.7,45,0.4828920231925117,0.48379042808769096,-0.4828920231925117,
physical_fixed,11,prior_mean,fixed,0.7,0.8,8,0.5723592936992645,0.5728001664246596,-0.5723592936992645,
physical_fixed,11,prior_mean,fixed,0.8,0.9,1,0.7135199308395386,0.7135199308395386,-0.7135199308395386,
physical_fixed,11,prior_median,fixed,0.0,0.1,3817,0.07981674811166714,0.08398600961419954,0.07981674811166714,
physical_fixed,11,prior_median,fixed,0.1,0.2,3048,0.025783219474937346,0.03138620036280945,-0.013344268928088853,
physical_fixed,11,prior_median,fixed,0.2,0.3,1702,0.11214266788350148,0.11566376006949543,-0.11214266788350148,
physical_fixed,11,prior_median,fixed,0.3,0.4,826,0.21026228644296563,0.21212485152889415,-0.21026228644296563,
physical_fixed,11,prior_median,fixed,0.4,0.5,384,0.3099149875342846,0.31122944293614885,-0.3099149875342846,
physical_fixed,11,prior_median,fixed,0.5,0.6,169,0.40632073484228914,0.4072035357370312,-0.40632073484228914,
physical_fixed,11,prior_median,fixed,0.6,0.7,45,0.514187859164344,0.5150316754902802,-0.514187859164344,
physical_fixed,11,prior_median,fixed,0.7,0.8,8,0.6036551296710968,0.6040731620842176,-0.6036551296710968,
physical_fixed,11,prior_median,fixed,0.8,0.9,1,0.7448157668113708,0.7448157668113708,-0.7448157668113708,
physical_fixed,11,deepsets,fixed,0.0,0.1,3817,0.09021617269950105,0.10133327946507012,0.0901830790670311,0.02091187585741608
physical_fixed,11,deepsets,fixed,0.1,0.2,3048,0.03783133585651324,0.05096182405975212,0.005358058976356595,0.10149989047296279
physical_fixed,11,deepsets,fixed,0.2,0.3,1702,0.0830840795978326,0.09311094684721996,-0.07303771038225619,0.1712353309071111
physical_fixed,11,deepsets,fixed,0.3,0.4,826,0.1431278967395533,0.15499835614282828,-0.13537803616997116,0.21024849827962358
physical_fixed,11,deepsets,fixed,0.4,0.5,384,0.17176259375022102,0.191129338272404,-0.16535371281982708,0.3222270878699821
physical_fixed,11,deepsets,fixed,0.5,0.6,169,0.18456160986917258,0.21206541842102283,-0.18043660094752115,0.20225288779666237
physical_fixed,11,deepsets,fixed,0.6,0.7,45,0.1474195592933231,0.1919220006299352,-0.14267578721046448,0.34974751030471823
physical_fixed,11,deepsets,fixed,0.7,0.8,8,0.1374569833278656,0.15624767918095778,-0.1374569833278656,0.059123194397786794
physical_fixed,11,deepsets,fixed,0.8,0.9,1,0.19221574068069458,0.19221574068069458,-0.19221574068069458,
physical_fixed,11,raw,fixed,0.0,0.1,3817,0.08796708494862057,0.09966787321340544,0.08794869218809243,0.02257970867231987
physical_fixed,11,raw,fixed,0.1,0.2,3048,0.03908622664768552,0.051535932007267485,0.003265846393552665,0.08915635603433476
