scenario,seed,method,level,n,mae,rmse,bias,corr,median_effective_snr_db
physical_snr,11,moments,10.0,10000,0.027220813213777728,0.04563758508184282,-0.003370568223227747,0.9399173932488322,-0.4406094551086426
physical_snr,11,moments_clipped,10.0,10000,0.027220813213777728,0.04563758508184282,-0.003370568223227747,0.9399173932488322,-0.4406094551086426
physical_snr,11,known_sigma,10.0,10000,0.012329752679838567,0.01841794705073671,-0.0008626617171044928,0.9896299535204057,-0.4406094551086426
physical_snr,11,prior_mean,10.0,10000,0.09935818385332823,0.12666828210453301,-0.0003985837742686272,,-0.4406094551086426
physical_snr,11,prior_median,10.0,10000,0.09641793197095394,0.13057270672248497,-0.03169443433582783,,-0.4406094551086426
physical_snr,11,deepsets,-10.0,10000,0.1124440577544272,0.12941158179872334,0.07645002877786757,0.5980615404286329,-20.440608978271484
physical_snr,11,deepsets,-5.0,10000,0.09094654898010195,0.11232039012669646,0.03670981154851616,0.5604391432923811,-15.440608978271484
physical_snr,11,deepsets,0.0,10000,0.07216756594888867,0.1005310951455882,0.0025150126557797197,0.6213804817865328,-10.440608978271484
physical_snr,11,deepsets,5.0,10000,0.05791263412293047,0.08492955293061193,-0.027049314186908306,0.80747541168539,-5.440609931945801
physical_snr,11,deepsets,10.0,10000,0.047772442020568996,0.05943749517909483,-0.03647219996778295,0.9288280906797141,-0.4406094551086426
physical_snr,11,raw,-10.0,10000,0.1098335955793038,0.1267154969206721,0.07070041819456965,0.5960757965174404,-20.440608978271484
physical_snr,11,raw,-5.0,10000,0.08944085020534695,0.11084459151665249,0.033728707647696136,0.5738889624839884,-15.440608978271484
physical_snr,11,raw,0.0,10000,0.07038319628257304,0.09912466547156898,-0.00015713018532842398,0.6445296636845556,-10.440608978271484
physical_snr,11,raw,5.0,10000,0.06525978413894773,0.09714247773123963,-0.03811585820093751,0.7742322530123897,-5.440609931945801
physical_snr,11,raw,10.0,10000,0.07677501612193882,0.10813220109371868,-0.0694267301876098,0.9265756530589938,-0.4406094551086426
physical_snr,11,mean_var,-10.0,10000,0.10881510493159295,0.1261518938667539,0.07498204759657383,0.6150183320964034,-20.440608978271484
