scenario,level,method,seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
physical_fixed,fixed,moments,3,0.3100266435816011,0.0013737869800536024,0.3645596321749112,0.001240061265696388,0.17809495750848245,0.0014082085343176134
physical_fixed,fixed,moments_clipped,3,0.3100266435816011,0.0013737869800536024,0.3645596321749112,0.001240061265696388,0.17809495750848245,0.0014082085343176134
physical_fixed,fixed,known_sigma,3,0.12990726939530967,0.000621708627965677,0.16036898372427388,0.0007502752856700747,0.0220619488771578,0.0009388348176530197
physical_fixed,fixed,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_fixed,fixed,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_fixed,fixed,deepsets,3,0.08361866345281403,0.0012552392818922285,0.10400127587426519,0.0014788256137054782,0.00019877272769808766,0.0019102636438962073
physical_fixed,fixed,raw,3,0.08572485931267342,0.0021831166561536402,0.10596060369532874,0.0017683705442837754,0.002056809329489867,0.002905815773447634
physical_fixed,fixed,mean_var,3,0.08374296274433533,0.0014093154689779315,0.10396234431212016,0.001470324188554035,0.0007639570593833924,0.0003309215439287547
physical_fixed,fixed,expanded_stats,3,0.08369402510225774,0.0013212579643265957,0.10402851011571415,0.001403404392871077,-0.0002840479855736097,0.0005291979490535759
physical_snr,-10.0,moments,3,0.5220477762740319,0.004671065611784518,0.708573711756525,0.003349325572959184,0.38267247153412903,0.005196521149286861
physical_snr,-10.0,moments_clipped,3,0.40334657333110424,0.004627185238792651,0.4964209316159898,0.004640950154325727,0.26397126859120135,0.005046396135005523
physical_snr,-10.0,known_sigma,3,0.21827024757899732,0.0014583621904887946,0.2981437929709337,0.0019265360076906434,0.06675481527245526,0.0037293818499610173
physical_snr,-10.0,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_snr,-10.0,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_snr,-5.0,moments,3,0.2868169554279982,0.0020671458783929103,0.36805043861957126,0.001824445624883643,0.15032210815103222,0.003014330949797788
physical_snr,-5.0,moments_clipped,3,0.28080203042892005,0.002390253672249653,0.3552213281569603,0.0025299807897528307,0.1443071831519541,0.003332889630070545
physical_snr,-5.0,known_sigma,3,0.1264471001559985,0.0008978794129505607,0.16896320466977127,0.0007314109724492718,0.005659122862096411,0.001928324091769812
physical_snr,-5.0,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_snr,-5.0,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_snr,0.0,moments,3,0.15472589031613318,0.0010664207328325047,0.19655027910975728,0.0010570521458240275,0.033294773037233,0.0007997107182309917
physical_snr,0.0,moments_clipped,3,0.15472589031613318,0.0010664207328325047,0.19655027910975728,0.0010570521458240275,0.033294773037233,0.0007997107182309917
physical_snr,0.0,known_sigma,3,0.06414899473050997,0.0003056536693592064,0.08963357504107862,0.0005680272282669012,-0.006087899256811943,0.0010444232477263972
physical_snr,0.0,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_snr,0.0,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_snr,5.0,moments,3,0.07286445604931603,0.0004358676872656018,0.10291348565971249,0.0006690125849911499,-0.002991043955423326,0.0003591389859981381
physical_snr,5.0,moments_clipped,3,0.07286445604931603,0.0004358676872656018,0.10291348565971249,0.0006690125849911499,-0.002991043955423326,0.0003591389859981381
physical_snr,5.0,known_sigma,3,0.02821142495966827,0.0003037470143666683,0.04134455214887861,0.000456111917861672,-0.0031062019978960356,0.000563002966673251
physical_snr,5.0,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_snr,5.0,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_snr,10.0,moments,3,0.026956661472525838,0.00030141077035847325,0.0451258186515346,0.00047190697081175544,-0.0032898809368819156,0.000367236205762609
physical_snr,10.0,moments_clipped,3,0.026956661472525838,0.00030141077035847325,0.0451258186515346,0.00047190697081175544,-0.0032898809368819156,0.000367236205762609
physical_snr,10.0,known_sigma,3,0.01221138568087093,0.00015817560824908642,0.018288987343344415,0.00031626710029949843,-0.000935632435787314,0.0002702828133792551
physical_snr,10.0,prior_mean,3,0.10120716828455528,0.001611200149395866,0.12783624489103507,0.0010187370264011825,-0.00015004692524671554,0.00027792883905369337
physical_snr,10.0,prior_median,3,0.09823442220886548,0.0015752537291911293,0.1316117027488183,0.0009548062600781746,-0.03128822839160761,0.0009259784790591546
physical_snr,-10.0,deepsets,3,0.1118068947898845,0.0034326104225101757,0.1293479683152071,0.0037965266810394784,0.07702463940555851,0.006097667786203662
physical_snr,-5.0,deepsets,3,0.09057376541721945,0.002061933416915689,0.11276312417070931,0.002117378415308244,0.03345114656478788,0.004701041066917783
physical_snr,0.0,deepsets,3,0.07122439698946352,0.0010890901676097074,0.10045344195359665,0.00070790999956168,0.00030591881048555185,0.0037495647587384405
physical_snr,5.0,deepsets,3,0.06018954399886231,0.0029146477316631106,0.08738040952348423,0.004344331988990815,-0.03384326343983412,0.006569717056025381
physical_snr,10.0,deepsets,3,0.05707883174642921,0.009670752251524094,0.07235771442537177,0.014147579948324294,-0.04971961120553315,0.012625311947433939
physical_snr,-10.0,raw,3,0.12968160054910308,0.0308674227408508,0.15577180475270744,0.046464926011832906,-0.005224936236386812,0.13861520162637403
physical_snr,-5.0,raw,3,0.11579001701857392,0.042436020033879064,0.14484017490162018,0.05583948176436992,-0.031098208837713654,0.1151105231834431
physical_snr,0.0,raw,3,0.10250360484025829,0.05351578860214911,0.136534566543748,0.06287855089696477,-0.05181356125409948,0.09440553832362424
physical_snr,5.0,raw,3,0.09724273178356234,0.05746867589064104,0.1328351851088907,0.0658260877131222,-0.07526225582385282,0.06905589645881657
physical_snr,10.0,raw,3,0.10340958584284721,0.05111064541275692,0.13833648701372503,0.06066312017037402,-0.0932425672573503,0.04692276132814351
physical_snr,-10.0,mean_var,3,0.10700085597044479,0.0015729677575073997,0.12474859163136146,0.001218951741528275,0.06979311059769243,0.004512659651882522
physical_snr,-5.0,mean_var,3,0.08645747039094567,0.0012900040181531732,0.10941862079860687,0.0016921397002265734,0.02679928447355827,0.002571079794897023
physical_snr,0.0,mean_var,3,0.07059811561089009,0.0015791033361044677,0.10008229590069201,0.0019894508874182936,-0.007715722813643516,0.0021192914223417056
physical_snr,5.0,mean_var,3,0.0576152225968428,0.0009304516139476878,0.08243913184153442,0.0013394322074609447,-0.033574179653730246,0.0025772910345358314
