scenario,seed,method,parameters,best_step,warmup_seconds,compute_seconds,data_seconds,train_seconds,examples_per_compute_second,inference_batch_size,inference_ms,permutation_max_difference,peak_allocated_mb
physical_snr,33,raw,5921,2900,0.005327304010279477,2.37428800330963,1.478307661251165,3.852595664560795,646930.784243065,512,0.07224596726397674,0.06349961459636688,49.06298828125
uniform_fixed,11,deepsets,5937,2600,0.006690097041428089,3.422678707167506,1.5193023026222363,4.9419810097897425,448771.3079183941,512,0.34900213358923793,1.1920928955078125e-07,82.3505859375
uniform_fixed,11,raw,5921,3000,0.005631449981592596,2.392262115608901,1.509313534363173,3.9015756499720737,642070.1101179471,512,0.07250960140178601,0.039916157722473145,27.53955078125
uniform_fixed,11,mean_var,5932,1900,0.006060496089048684,2.542844396433793,1.5013008818496019,4.044145278283395,604047.9716942806,512,0.10843263395751516,4.172325134277344e-07,27.54150390625
uniform_fixed,11,expanded_stats,5929,2800,0.006242163944989443,3.0754005395574495,1.5343724262202159,4.609772965777665,499447.1387525446,512,0.24728390077749887,3.5762786865234375e-07,27.53759765625
uniform_fixed,22,raw,5921,2700,0.005415685940533876,2.3481587211135775,1.4878952325088903,3.836053953622468,654129.546775942,512,0.07252479748179515,0.04692399501800537,27.5009765625
uniform_fixed,22,mean_var,5932,2600,0.006001862930133939,2.510719511192292,1.4867816736223176,3.9975011848146096,611776.8206097158,512,0.10790603312974174,5.364418029785156e-07,27.54150390625
uniform_fixed,22,expanded_stats,5929,2000,0.006007621996104717,2.966733562410809,1.492476518615149,4.459210081025958,517741.13437804807,512,0.24545029737055302,2.980232238769531e-07,27.53759765625
uniform_fixed,22,deepsets,5937,2400,0.0064935400150716305,3.567825866979547,1.568617113865912,5.136442980845459,430514.28440378123,512,0.3492663032375276,1.4901161193847656e-07,82.38916015625
uniform_fixed,33,mean_var,5932,2800,0.005978283006697893,2.7558459759457037,1.5870772275375202,4.342923203483224,557360.6120976707,512,0.10818649704257648,3.8743019104003906e-07,27.5029296875
uniform_fixed,33,expanded_stats,5929,1400,0.006574408034794033,2.959619802189991,1.492892192560248,4.452511994750239,518985.5801287133,512,0.24542160099372268,3.5762786865234375e-07,27.53759765625
uniform_fixed,33,deepsets,5937,2800,0.0065217489609494805,3.4340382718946785,1.4976465301588178,4.931684802053496,447286.802995511,512,0.3520044342925151,1.1920928955078125e-07,82.38916015625
uniform_fixed,33,raw,5921,2700,0.005326236947439611,2.394455295521766,1.5208565066568553,3.9153118021786213,641482.0117430075,512,0.07260063430294394,0.05275541543960571,27.53955078125
