scenario,seed,method,step,examples,compute_seconds,data_seconds,train_seconds,train_mse,validation_rmse,best_validation_rmse
physical_fixed,11,deepsets,1900,972800,2.498854169389233,0.939052413450554,3.437906582839787,0.011004750924184918,0.10484762954707962,0.1047530516663742
physical_fixed,11,deepsets,2000,1024000,2.612028322648257,0.9865318791707978,3.598560201819055,0.011019633915275336,0.10474302645648063,0.10474302645648063
physical_fixed,11,deepsets,2100,1075200,2.725582578452304,1.03444558090996,3.760028159362264,0.010794410211965443,0.10533025086940062,0.10474302645648063
physical_fixed,11,deepsets,2200,1126400,2.838767024804838,1.0815726044820622,3.9203396292869,0.011056056851521135,0.10522982484702723,0.10474302645648063
physical_fixed,11,deepsets,2300,1177600,2.9516745574073866,1.12863461766392,4.0803091750713065,0.0108733981102705,0.10474851899590584,0.10474302645648063
physical_fixed,11,deepsets,2400,1228800,3.0650565798860043,1.1758039036067203,4.240860483492725,0.01090662445873022,0.10491262466160428,0.10474302645648063
physical_fixed,11,deepsets,2500,1280000,3.178020548890345,1.223084770841524,4.401105319731869,0.010832997877150774,0.10499943586618082,0.10474302645648063
physical_fixed,11,deepsets,2600,1331200,3.290926160989329,1.2700378192821518,4.560963980271481,0.010987593894824385,0.1049889338665761,0.10474302645648063
physical_fixed,11,deepsets,2700,1382400,3.404472444904968,1.3174026363994926,4.721875081304461,0.010810846481472253,0.10521583030023542,0.10474302645648063
physical_fixed,11,deepsets,2800,1433600,3.5212438624585047,1.3664899420691654,4.88773380452767,0.011079554706811904,0.10609767745106179,0.10474302645648063
physical_fixed,11,deepsets,2900,1484800,3.634319229167886,1.4136719886446372,5.047991217812523,0.010875556711107492,0.10568330475980398,0.10474302645648063
physical_fixed,11,deepsets,3000,1536000,3.7481935045216233,1.461495713563636,5.209689218085259,0.010825796406716109,0.10472062555329588,0.10472062555329588
physical_fixed,11,raw,0,0,0.0,0.0,0.0,,0.45024747065847004,0.45024747065847004
physical_fixed,11,raw,100,51200,0.0808469271287322,0.04766967007890344,0.12851659720763564,0.03466858448460698,0.13225198133884072,0.13225198133884072
physical_fixed,11,raw,200,102400,0.16372555179987103,0.09450399945490062,0.25822955125477165,0.017909335512667893,0.13215625957716795,0.13215625957716795
physical_fixed,11,raw,300,153600,0.2546100040199235,0.141706220805645,0.3963162248255685,0.018132082913070918,0.1320707857252613,0.1320707857252613
physical_fixed,11,raw,400,204800,0.3451263877796009,0.18849354167468846,0.5336199294542894,0.017885149586945773,0.13189287762250693,0.13189287762250693
physical_fixed,11,raw,500,256000,0.4356716007459909,0.23527408484369516,0.670945685589686,0.017941321656107904,0.13175404349638015,0.13175404349638015
physical_fixed,11,raw,600,307200,0.5259477206273004,0.282151737017557,0.8080994576448575,0.01779393367469311,0.13153754404379941,0.13153754404379941
physical_fixed,11,raw,700,358400,0.6165953299496323,0.3290483448654413,0.9456436748150736,0.01789762415923178,0.13133042490929886,0.13133042490929886
physical_fixed,11,raw,800,409600,0.7072963037062436,0.37594531348440796,1.0832416171906516,0.01760400098748505,0.1309048035291855,0.1309048035291855
physical_fixed,11,raw,900,460800,0.7980200127931312,0.4229292633244768,1.220949276117608,0.017548694843426346,0.12984839987042848,0.12984839987042848
physical_fixed,11,raw,1000,512000,0.8885987417306751,0.470025779097341,1.358624520828016,0.016902658017352225,0.12840815037365436,0.12840815037365436
physical_fixed,11,raw,1100,563200,0.9818893375340849,0.5171550289960578,1.4990443665301427,0.016788669554516675,0.12758619142436162,0.12758619142436162
physical_fixed,11,raw,1200,614400,1.067098077852279,0.5637449169298634,1.6308429947821423,0.016405579606071113,0.12468311811490217,0.12468311811490217
physical_fixed,11,raw,1300,665600,1.14568931912072,0.6107247958425432,1.7564141149632633,0.015512437075376511,0.11982791297252664,0.11982791297252664
physical_fixed,11,raw,1400,716800,1.2247257246635854,0.6575850592926145,1.8823107839561999,0.01441911588422954,0.11525278840162359,0.11525278840162359
physical_fixed,11,raw,1500,768000,1.3032700542826205,0.7043433887884021,2.0076134430710226,0.013633892443031072,0.11428558370028787,0.11428558370028787
physical_fixed,11,raw,1600,819200,1.381870198296383,0.7511394766625017,2.1330096749588847,0.0125670962408185,0.10975450960029173,0.10975450960029173
physical_fixed,11,raw,1700,870400,1.4603905539261177,0.7977519449777901,2.258142498903908,0.011920072278007865,0.1074355453695316,0.1074355453695316
physical_fixed,11,raw,1800,921600,1.539652963168919,0.8447190672159195,2.3843720303848386,0.011607952890917659,0.10859028275184858,0.1074355453695316
physical_fixed,11,raw,1900,972800,1.619146038661711,0.892801271751523,2.511947310413234,0.011661857161670923,0.10635953197584695,0.10635953197584695
physical_fixed,11,raw,2000,1024000,1.6980032961582765,0.9395840037614107,2.637587299919687,0.011596884923055767,0.10791309815967558,0.10635953197584695
physical_fixed,11,raw,2100,1075200,1.776423456496559,0.9863190576434135,2.7627425141399726,0.01133332185447216,0.10843476934396507,0.10635953197584695
physical_fixed,11,raw,2200,1126400,1.8551044627092779,1.0330035174265504,2.8881079801358283,0.011483481973409653,0.10620313467697041,0.10620313467697041
physical_fixed,11,raw,2300,1177600,1.9337580067804083,1.0795861711958423,3.0133441779762506,0.01131813444197178,0.10627070011153648,0.10620313467697041
physical_fixed,11,raw,2400,1228800,2.0125377990771085,1.1262162268394604,3.138754025916569,0.011368244541808964,0.10816718109503254,0.10620313467697041
physical_fixed,11,raw,2500,1280000,2.091116357361898,1.1729311043163761,3.264047461678274,0.01128994026221335,0.10619621471802357,0.10619621471802357
physical_fixed,11,raw,2600,1331200,2.1702037561917678,1.2197327658068389,3.3899365219986066,0.011432515811175109,0.10669360685936652,0.10619621471802357
physical_fixed,11,raw,2700,1382400,2.2489259807625785,1.2664388335542753,3.515364814316854,0.01116896040737629,0.10580897322439131,0.10580897322439131
