seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
22,deepsets,0,0,0.0,,,0.13318353472277522,0.05942011940297973
22,deepsets,50,1600,0.8100253500742838,0.05499623917043209,0.09945280112326145,0.1338621008908376,0.05932789801350346
22,deepsets,100,3200,1.6196667886106297,0.049309898763895035,0.10298695534467697,0.13451194018125534,0.05908630068834448
22,deepsets,150,4800,2.4251073747873306,0.05191461130976677,0.09885391131043435,0.13572497491259128,0.059111935333786586
22,deepsets,200,6400,3.230939829489216,0.07887254193425179,0.09542159914970398,0.13478095969185233,0.05893493822642849
22,deepsets,250,8000,4.070234379265457,0.06307713314890862,0.09119983833283186,0.13443744112737477,0.058744092757514126
22,deepsets,300,9600,4.902912883204408,0.0663459551334381,0.08642330329865217,0.13577837904449552,0.058829370213548976
22,deepsets,350,11200,5.747978885192424,0.1128871599584818,0.10343069158494472,0.13500920427031815,0.05840364813213598
22,deepsets,400,12800,6.58698664221447,0.07776076324284077,0.09473752826452256,0.14283396513201296,0.05847785241413722
22,deepsets,450,14400,7.418618465191685,0.16924581483006476,0.15960796758532525,0.3593207310186699,0.06015121880771324
22,deepsets,500,16000,8.243746177759022,0.5375146132707596,0.34046485915780067,0.7551273496355861,0.06205563750537398
