seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
22,raw,0,0,0.0,,,0.1333351037465036,0.05939483854019545
22,raw,50,1600,0.8186842580325902,0.05483076058328152,0.0988095773011446,0.1342992380959913,0.059349724788578466
22,raw,100,3200,1.643662336980924,0.049390899240970614,0.10376602582633496,0.13497110013850033,0.059204309022802985
22,raw,150,4800,2.4581512506119907,0.05265529468655586,0.09808549489825964,0.1372647664975375,0.05939117117319804
22,raw,200,6400,3.2769972197711468,0.07760115057229995,0.09684740118682385,0.13788958871737123,0.05939615447843556
22,raw,250,8000,4.083701834781095,0.06641669422388077,0.0869702234864235,0.14147427689749748,0.05972830459598001
22,raw,300,9600,4.893295027664863,0.08644205197691918,0.09508118346333504,0.18149272759910673,0.06189109252323142
22,raw,350,11200,5.706411756575108,0.24315336093306542,0.19120264708995818,0.48409518599510193,0.0682956801031286
22,raw,400,12800,6.526686571887694,0.6672799772024155,0.3965758019685745,0.892415011767298,0.06469318156267942
22,raw,450,14400,7.340777195175178,1.0121615195274354,0.5808708199858665,0.9927433519624174,0.06372281946231141
22,raw,500,16000,8.15299167111516,1.0502799355983734,0.6535349810123443,0.9890961502678692,0.06276724234627222
