seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
33,deepsets,0,0,0.0,,,0.0030776269268244505,0.07807841876227944
33,deepsets,50,1600,0.8344874117756262,0.027022431045770644,0.11411199979484081,0.0041728338692337275,0.07820252059111371
33,deepsets,100,3200,1.6772109641460702,0.05614518240094185,0.0869209874421358,0.0039298791671171784,0.07843501310183672
33,deepsets,150,4800,2.5172083623474464,0.0438475339859724,0.08798654586076736,0.006759633892215788,0.07904689761559865
33,deepsets,200,6400,3.355840694741346,0.07505112200975418,0.10313974291086198,0.011951913707889616,0.07937718206500265
33,deepsets,250,8000,4.202806045417674,0.12687254413962365,0.10136001996695995,0.06186766875907779,0.07988723239272377
33,deepsets,300,9600,5.041283477446996,0.28110541760921476,0.16695680677890778,0.29377892857883126,0.07887542222782151
33,deepsets,350,11200,5.885020667570643,0.49440896570682524,0.3090444600582123,0.6062301567289978,0.07702711199211504
33,deepsets,400,12800,6.731821535504423,0.7818085265159607,0.4952459332346916,0.9611344155855477,0.06160355449679376
33,deepsets,450,14400,7.573620386538096,0.9211895668506622,0.421268031001091,0.9724929493386298,0.06117396520740389
33,deepsets,500,16000,8.406154638389125,0.9091903179883957,0.4754988157749176,0.9773776604561135,0.060793225024403055
