seed,method,step,trajectories_seen,train_seconds,training_bound_interval_mean,gradient_inf_norm_interval_mean,validation_bound,validation_mc_se
11,deepsets,0,0,0.0,,,0.11949140427168459,0.04012665009887591
11,deepsets,50,1600,0.8308199602179229,0.12567565709352493,0.09331820137798787,0.13381608040072024,0.03983400155904796
11,deepsets,100,3200,1.6801466014003381,0.10938309252262116,0.10441573970019817,0.1903466945514083,0.041028205314713864
11,deepsets,150,4800,2.5343707421561703,0.22590639173984528,0.1527153278514743,0.36786244495306164,0.04673332978365995
11,deepsets,200,6400,3.368486611871049,0.3677572476863861,0.25216869339346887,0.5646823442075402,0.05525577061879988
11,deepsets,250,8000,4.1990259708836675,0.6688505220413208,0.40893864542245867,0.9084411561489105,0.05697187780719331
11,deepsets,300,9600,5.039805449661799,0.9511769390106202,0.4396324373781681,1.1084692620206624,0.05408569743894301
11,deepsets,350,11200,5.873555509722792,1.0951925027370453,0.3992625680565834,1.1424142778851092,0.05329175463642159
11,deepsets,400,12800,6.707033600891009,1.1418920254707337,0.40764541864395143,1.1489014574326575,0.053865998828568365
11,deepsets,450,14400,7.53802560607437,1.1082640659809113,0.43243797212839125,1.1408411236479878,0.05425519745047567
11,deepsets,500,16000,8.372309157508425,1.0319389498233795,0.44817264065146445,1.1452051373198628,0.053647384478345196
11,raw,0,0,0.0,,,0.11929646041244268,0.04011834913135105
11,raw,50,1600,0.8078821252565831,0.12566573090851307,0.09344452049583196,0.13217750506009907,0.039868607506125864
11,raw,100,3200,1.6221786459209397,0.10717662915587425,0.1027469813078642,0.18220348993781954,0.041167063378416066
11,raw,150,4800,2.4405452109640464,0.2335464569926262,0.15086663603782655,0.39580783538986,0.04881567684929319
11,raw,200,6400,3.2544268131023273,0.4285269060730934,0.2352228866517544,0.6965480929939076,0.05642334163652962
11,raw,250,8000,4.069292385363951,0.8316213232278824,0.33706316113471985,1.015944855287671,0.05308578005967168
11,raw,300,9600,4.890584498178214,1.0039554965496063,0.40947130009531973,1.1379477016162127,0.052743301581736464
11,raw,350,11200,5.706770641147159,1.0715093898773194,0.4138865959644318,1.1563810645602643,0.051547963790895546
11,raw,400,12800,6.527172700501978,1.12584046125412,0.43393828004598617,1.1636219541542232,0.05158844624223661
11,raw,450,14400,7.341527838259935,1.096744831800461,0.4913928037881851,1.1727256402373314,0.05158114305108223
11,raw,500,16000,8.155099337920547,1.0728907883167267,0.5138271969556808,1.1778518594801426,0.0519596025752059
11,mean_var,0,0,0.0,,,0.11940184875857085,0.040125566234009154
11,mean_var,50,1600,0.8243561089038849,0.12546471036970616,0.09280465006828308,0.13337930175475776,0.039842863430803656
11,mean_var,100,3200,1.6501287128776312,0.11151680365204811,0.10710943289101124,0.19399344734847546,0.04143515301253838
11,mean_var,150,4800,2.4759904149686918,0.2578276634216309,0.18774528317153455,0.4429170897928998,0.0498084508701832
11,mean_var,200,6400,3.3038023078115657,0.5091226199269294,0.3157319179177284,0.8029736460885033,0.05688633969480552
11,mean_var,250,8000,4.136207330506295,0.9355323892831803,0.45224558234214784,1.0976281977491453,0.054210967058694395
11,mean_var,300,9600,4.970629412448034,1.0598093211650848,0.4891182228922844,1.157619571313262,0.053254890034077955
11,mean_var,350,11200,5.794172436580993,1.1123506700992585,0.554953136742115,1.1559800151735544,0.052483445013332415
11,mean_var,400,12800,6.621093708556145,1.1638095629215242,0.7707134175300598,1.1608426261227578,0.05170320795337479
11,mean_var,450,14400,7.441029806737788,1.1397842419147493,0.6592703050374985,1.1597783551551402,0.051327390085179024
11,mean_var,500,16000,8.263670020620339,1.1420745611190797,0.7768850073218345,1.1640181578695774,0.05139074157442545
11,expanded_stats,0,0,0.0,,,0.12208949611522257,0.03999828361777864
11,expanded_stats,50,1600,0.898194435518235,0.12870290338993073,0.09349265974014997,0.14087583078071475,0.03989971824344006
11,expanded_stats,100,3200,1.802547575556673,0.12796945706009866,0.12597206920385362,0.23938632826320827,0.0427737311205031
11,expanded_stats,150,4800,2.70196286321152,0.35738878816366193,0.22195195600390435,0.5330708140973002,0.05409353236402646
11,expanded_stats,200,6400,3.6026591567788273,0.6827551257610321,0.4639204117655754,1.0952741838991642,0.05585501634615847
11,expanded_stats,250,8000,4.50837033148855,1.035688943862915,0.4645349857211113,1.1666321587981656,0.05433790375363284
11,expanded_stats,300,9600,5.410057834931649,1.0830115830898286,0.5868762737512588,1.173585400916636,0.05403112532999346
11,expanded_stats,350,11200,6.304398216307163,1.1296843230724334,0.524784867465496,1.1724520192947239,0.053595400760172794
11,expanded_stats,400,12800,7.208174156257883,1.1704247140884398,0.5935099375247955,1.1806228270288557,0.05309849978875386
11,expanded_stats,450,14400,8.10363068699371,1.131839201450348,0.5927893859148026,1.173650421667844,0.05182729242246232
11,expanded_stats,500,16000,8.998910843976773,1.1297157871723176,0.7785667288303375,1.1702539352700114,0.05152729506202878
22,raw,0,0,0.0,,,0.1333351037465036,0.05939483854019545
22,raw,50,1600,0.8186842580325902,0.05483076058328152,0.0988095773011446,0.1342992380959913,0.059349724788578466
22,raw,100,3200,1.643662336980924,0.049390899240970614,0.10376602582633496,0.13497110013850033,0.059204309022802985
22,raw,150,4800,2.4581512506119907,0.05265529468655586,0.09808549489825964,0.1372647664975375,0.05939117117319804
22,raw,200,6400,3.2769972197711468,0.07760115057229995,0.09684740118682385,0.13788958871737123,0.05939615447843556
22,raw,250,8000,4.083701834781095,0.06641669422388077,0.0869702234864235,0.14147427689749748,0.05972830459598001
22,raw,300,9600,4.893295027664863,0.08644205197691918,0.09508118346333504,0.18149272759910673,0.06189109252323142
22,raw,350,11200,5.706411756575108,0.24315336093306542,0.19120264708995818,0.48409518599510193,0.0682956801031286
22,raw,400,12800,6.526686571887694,0.6672799772024155,0.3965758019685745,0.892415011767298,0.06469318156267942
22,raw,450,14400,7.340777195175178,1.0121615195274354,0.5808708199858665,0.9927433519624174,0.06372281946231141
22,raw,500,16000,8.15299167111516,1.0502799355983734,0.6535349810123443,0.9890961502678692,0.06276724234627222
22,mean_var,0,0,0.0,,,0.1340785431675613,0.05935883008516259
22,mean_var,50,1600,0.818414009641856,0.05513311438262462,0.09859889354556799,0.13472946383990347,0.059322429653617975
22,mean_var,100,3200,1.637929562595673,0.049933557361364365,0.10382311627268791,0.1352798790903762,0.05914780389678935
22,mean_var,150,4800,2.457794164423831,0.052518157809972765,0.09784997262060642,0.1371597262332216,0.05931974919714556
22,mean_var,200,6400,3.275702622020617,0.07771519467234611,0.09664991963654757,0.13726319384295493,0.05925199399102174
22,mean_var,250,8000,4.094796053832397,0.0646863380074501,0.08754113748669624,0.1388086749939248,0.05940964083768825
22,mean_var,300,9600,4.915800099493936,0.07533356666564942,0.0862517400085926,0.1524705373449251,0.0603214208194235
22,mean_var,350,11200,5.732455081422813,0.1191350881755352,0.10144619256258011,0.19263668055646122,0.06175709927807336
22,mean_var,400,12800,6.551982721197419,0.20129734814167022,0.18177077561616897,0.41224596998654306,0.06465478221838265
22,mean_var,450,14400,7.376937025343068,0.5445989906787873,0.3979212760925293,0.7817059971857816,0.06930920737750633
22,mean_var,500,16000,8.19996311236173,0.9653971064090728,0.5533264166116715,1.0954677608096972,0.05823960221047164
22,expanded_stats,0,0,0.0,,,0.13311570778023452,0.05935071944040709
22,expanded_stats,50,1600,0.8934144087834284,0.05490568622946739,0.09879330866038799,0.13341017090715468,0.05918425358538021
22,expanded_stats,100,3200,1.7914177298080176,0.05140646442770958,0.10013096429407596,0.13295714813284576,0.0586434030977997
22,expanded_stats,150,4800,2.685088057536632,0.06212965711951256,0.1009644278883934,0.14550734660588205,0.05867562537657906
22,expanded_stats,200,6400,3.5811641681939363,0.22430151894688607,0.2367528922110796,0.4370557552902028,0.060201708079245235
22,expanded_stats,250,8000,4.47872308967635,0.6722608092427254,0.5973804184794426,1.0305466790450737,0.060295227894380174
22,expanded_stats,300,9600,5.37282703013625,0.9662442690134049,0.6569214257597923,1.040645910659805,0.06089372745865527
22,expanded_stats,350,11200,6.268179007223807,1.042558890581131,0.7287611809372901,1.0484826036263257,0.06060667325494448
22,expanded_stats,400,12800,7.165625827736221,1.0005520868301392,0.6015294581651688,1.048979714512825,0.06112231455617318
22,expanded_stats,450,14400,8.06773402064573,1.0566817438602447,0.6639654850959777,1.053391375229694,0.0600335097951752
22,expanded_stats,500,16000,8.93097624136135,1.0464729571342468,0.7051576524972916,1.055350098060444,0.05996611445888887
22,deepsets,0,0,0.0,,,0.13318353472277522,0.05942011940297973
22,deepsets,50,1600,0.8100253500742838,0.05499623917043209,0.09945280112326145,0.1338621008908376,0.05932789801350346
22,deepsets,100,3200,1.6196667886106297,0.049309898763895035,0.10298695534467697,0.13451194018125534,0.05908630068834448
22,deepsets,150,4800,2.4251073747873306,0.05191461130976677,0.09885391131043435,0.13572497491259128,0.059111935333786586
22,deepsets,200,6400,3.230939829489216,0.07887254193425179,0.09542159914970398,0.13478095969185233,0.05893493822642849
22,deepsets,250,8000,4.070234379265457,0.06307713314890862,0.09119983833283186,0.13443744112737477,0.058744092757514126
22,deepsets,300,9600,4.902912883204408,0.0663459551334381,0.08642330329865217,0.13577837904449552,0.058829370213548976
22,deepsets,350,11200,5.747978885192424,0.1128871599584818,0.10343069158494472,0.13500920427031815,0.05840364813213598
22,deepsets,400,12800,6.58698664221447,0.07776076324284077,0.09473752826452256,0.14283396513201296,0.05847785241413722
22,deepsets,450,14400,7.418618465191685,0.16924581483006476,0.15960796758532525,0.3593207310186699,0.06015121880771324
22,deepsets,500,16000,8.243746177759022,0.5375146132707596,0.34046485915780067,0.7551273496355861,0.06205563750537398
33,mean_var,0,0,0.0,,,0.0032189085613936186,0.07803675959197644
33,mean_var,50,1600,0.8215884327655658,0.027195666879415513,0.11252597108483314,0.004373479867354035,0.07811350097927504
33,mean_var,100,3200,1.6536303753964603,0.055631086230278015,0.08755475610494613,0.004049165640026331,0.07829896396300576
33,mean_var,150,4800,2.491902555921115,0.04306253433227539,0.08816722691059113,0.005283370381221175,0.07888110937824801
33,mean_var,200,6400,3.318199571920559,0.07394096314907074,0.10591640464961528,0.006871587014757097,0.07900772788445347
33,mean_var,250,8000,4.140254261204973,0.11270810633897782,0.10425147280097008,0.025272348430007696,0.08011291114429472
33,mean_var,300,9600,4.9594627221813425,0.22975666791200638,0.1888757733255625,0.26015234424266964,0.07860397328161066
33,mean_var,350,11200,5.78296524065081,0.5455758965015411,0.46538363516330716,0.7967628857586533,0.06732928027241326
33,mean_var,400,12800,6.60357366304379,0.8482556420564652,0.6503668242692947,1.031338666449301,0.06591777571545158
33,mean_var,450,14400,7.421915771905333,0.9433750128746032,0.5195728534460068,1.0532668058294803,0.06504976647547386
33,mean_var,500,16000,8.243886639829725,0.9702481454610825,0.5982331722974777,1.071167660644278,0.07178570642339087
33,expanded_stats,0,0,0.0,,,0.00307020777836442,0.07800770764889879
33,expanded_stats,50,1600,0.9030108475126326,0.02720131501555443,0.11201756224036216,0.004640045459382236,0.07804881220689837
33,expanded_stats,100,3200,1.8028460629284382,0.055439586490392684,0.08790654063224793,0.0044915887992829084,0.07818844892249073
33,expanded_stats,150,4800,2.7106744220945984,0.04234856516122818,0.08744246006011963,0.0048805298283696175,0.07872740425125212
33,expanded_stats,200,6400,3.6155937634175643,0.07366232261061668,0.10652110055088997,0.005339830066077411,0.07856141520610288
33,expanded_stats,250,8000,4.509395799948834,0.10465071365237236,0.09897842079401016,0.008286319207400084,0.07944987091047095
33,expanded_stats,300,9600,5.410150246345438,0.12566333271563054,0.13342571787536145,0.07237585412804037,0.07982428287464173
