method,seeds,parameter_count,test_bound_mean,test_bound_sd,train_seconds_mean,train_seconds_sd
deepsets,3,34359,0.9373214972438291,0.20713578132679092,8.340736657885524,0.08568397790945856
raw,3,34343,0.9194542276284968,0.15201971419393456,8.163183344295248,0.015862248019516845
mean_var,3,34354,1.0375528566073626,0.09406957479945051,8.235839924270598,0.03260682081152421
expanded_stats,3,34351,1.0860519499983639,0.0783808199206741,8.985556818156814,0.049279802527310825
