seed,other_method,test_bound_deepsets_minus_other,train_seconds_deepsets_minus_other
11,raw,0.0341385945212096,0.21720981958787888
11,mean_var,-0.049341758945956826,0.1086391368880868
11,expanded_stats,-0.05819150840397924,-0.6266016864683479
22,raw,-0.24005181575194,0.09075450664386153
22,mean_var,-0.2579656355082989,0.043783065397292376
22,expanded_stats,-0.40580047538969666,-0.6872300636023283
33,raw,0.25951503007672727,0.22469561453908682
33,mean_var,0.006613316363655031,0.16226799855940044
33,expanded_stats,0.017800625530071557,-0.6206287307431921
